index_name,retriever_method,number_retrieved_docs,hit_rate,mrr,similarity,duration
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,4,0.9,0.83,0.6580662933506392,2.5216289949417114
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,8,0.92,0.8326785714285714,0.5099557642634182,2.5539342498779297
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,16,0.93,0.8337896825396824,0.3952820253150185,2.5346482148170471
Fine-tuned_finetuned-ISO-27001_1024_l2_All_1536_264_False,Hybrid_Rerank_Cohere,32,0.94,0.8341468253968253,0.2827247920408744,2.53349164080619813
