index_name,retriever_method,number_retrieved_docs,hit_rate,mrr,similarity,duration
OpenAI_text-embedding-ada_l2_All_1024_128_False,TF-IDF,4,0.59,0.4741666666666667,0.4370349317237014,1.360867519378662
OpenAI_text-embedding-ada_l2_All_1024_128_False,BM25,4,0.6,0.4808333333333333,0.4206065562290132,1.1276522970199585
OpenAI_text-embedding-ada_l2_All_1024_128_False,Dense,4,0.67,0.5791666666666667,0.507590320580448,0.2736840462684631
OpenAI_text-embedding-ada_l2_All_1024_128_False,Rerank_Hybrid_TF-IDF_Dense,4,0.7,0.5133333333333334,0.4941858552505491,1.93241055727005
OpenAI_text-embedding-ada_l2_All_1024_128_False,Rerank_Hybrid_BM25_Dense,4,0.77,0.5866666666666667,0.5054161252264839,1.660978808403015
OpenAI_text-embedding-ada_l2_All_2048_0_False,TF-IDF,4,0.62,0.5025000000000001,0.3328370175993587,3.834370510578156
OpenAI_text-embedding-ada_l2_All_2048_0_False,BM25,4,0.68,0.5825,0.3059076092907025,0.8517268371582031
OpenAI_text-embedding-ada_l2_All_2048_0_False,Dense,4,0.67,0.5658333333333334,0.3280849886782971,0.2714308404922485
OpenAI_text-embedding-ada_l2_All_2048_0_False,Rerank_Hybrid_TF-IDF_Dense,4,0.7,0.58,0.3419864664848458,1.6227631092071533
OpenAI_text-embedding-ada_l2_All_2048_0_False,Rerank_Hybrid_BM25_Dense,4,0.73,0.5783333333333335,0.3290529332905944,1.3615068864822388
OpenAI_text-embedding-ada_l2_All_2048_264_False,TF-IDF,4,0.61,0.4816666666666667,0.3489048414819172,1.2270580458641052
OpenAI_text-embedding-ada_l2_All_2048_264_False,BM25,4,0.73,0.6000000000000001,0.3397255306972784,0.9529806733131408
OpenAI_text-embedding-ada_l2_All_2048_264_False,Dense,4,0.7,0.5791666666666666,0.3550792421454798,0.2595852589607239
OpenAI_text-embedding-ada_l2_All_2048_264_False,Rerank_Hybrid_TF-IDF_Dense,4,0.78,0.5566666666666668,0.3716564675380732,1.7194263958930969
OpenAI_text-embedding-ada_l2_All_2048_264_False,Rerank_Hybrid_BM25_Dense,4,0.81,0.6533333333333334,0.3696702633596053,1.524547278881073
OpenAI_text-embedding-ada_l2_All_4096_0_False,TF-IDF,4,0.64,0.4658333333333335,0.275491121762127,0.9869985961914064
OpenAI_text-embedding-ada_l2_All_4096_0_False,BM25,4,0.7,0.58,0.2609842833479865,0.774077320098877
OpenAI_text-embedding-ada_l2_All_4096_0_False,Dense,4,0.63,0.5341666666666667,0.2514737792389996,0.2574761271476745
OpenAI_text-embedding-ada_l2_All_4096_0_False,Rerank_Hybrid_TF-IDF_Dense,4,0.7,0.5275,0.269481301126301,1.4741971516609191
OpenAI_text-embedding-ada_l2_All_4096_0_False,Rerank_Hybrid_BM25_Dense,4,0.75,0.595,0.265603155824141,1.266108078956604
OpenAI_text-embedding-ada_l2_All_4096_528_False,TF-IDF,4,0.65,0.4708333333333334,0.2657762152146961,1.1229211854934693
OpenAI_text-embedding-ada_l2_All_4096_528_False,BM25,4,0.74,0.5816666666666667,0.2789353867294448,0.8853886151313781
OpenAI_text-embedding-ada_l2_All_4096_528_False,Dense,4,0.63,0.4766666666666666,0.2900771489011663,0.2582644367218017
OpenAI_text-embedding-ada_l2_All_4096_528_False,Rerank_Hybrid_TF-IDF_Dense,4,0.69,0.5166666666666667,0.2859149820523769,1.615772783756256
OpenAI_text-embedding-ada_l2_All_4096_528_False,Rerank_Hybrid_BM25_Dense,4,0.72,0.5408333333333334,0.2945152265629031,1.3732161498069764
