index_name,retriever_method,number_retrieved_docs,hit_rate,mrr,similarity,duration
OpenAI_text-embedding-ada_l2_All_264_0_False,TF-IDF,4,0.71,0.6300000000000001,0.3843752497163404,1.8456060671806336
OpenAI_text-embedding-ada_l2_All_264_0_False,BM25,4,0.68,0.6283333333333333,0.35840180350634,1.7342291903495788
OpenAI_text-embedding-ada_l2_All_264_0_False,Dense,4,0.76,0.6916666666666665,0.4864909876332604,0.3391605234146118
OpenAI_text-embedding-ada_l2_All_264_0_False,Rerank_Hybrid_TF-IDF_Dense,4,0.77,0.6741666666666667,0.4587367525433255,2.587716345787048
OpenAI_text-embedding-ada_l2_All_264_0_False,Rerank_Hybrid_BM25_Dense,4,0.8,0.705,0.4504389760565833,2.37743748664856
OpenAI_text-embedding-ada_l2_All_264_32_False,TF-IDF,4,0.71,0.6433333333333333,0.3841266053074924,2.0768065237998963
OpenAI_text-embedding-ada_l2_All_264_32_False,BM25,4,0.66,0.6125,0.3400715567656334,1.916589443683624
OpenAI_text-embedding-ada_l2_All_264_32_False,Dense,4,0.72,0.6208333333333333,0.4676867073705761,0.3440977072715759
OpenAI_text-embedding-ada_l2_All_264_32_False,Rerank_Hybrid_TF-IDF_Dense,4,0.77,0.6483333333333334,0.4477170353678244,2.882021405696869
OpenAI_text-embedding-ada_l2_All_264_32_False,Rerank_Hybrid_BM25_Dense,4,0.75,0.6433333333333334,0.4192671535612185,2.6933696055412293
OpenAI_text-embedding-ada_l2_All_512_0_False,TF-IDF,4,0.68,0.5383333333333333,0.4620173045972569,1.420780899524689
OpenAI_text-embedding-ada_l2_All_512_0_False,BM25,4,0.63,0.53,0.4061967635528526,1.2693174695968628
OpenAI_text-embedding-ada_l2_All_512_0_False,Dense,4,0.75,0.6291666666666668,0.5297029551447849,0.2780868172645568
OpenAI_text-embedding-ada_l2_All_512_0_False,Rerank_Hybrid_TF-IDF_Dense,4,0.74,0.5933333333333334,0.5130402562066062,2.04851039648056
OpenAI_text-embedding-ada_l2_All_512_0_False,Rerank_Hybrid_BM25_Dense,4,0.74,0.5975,0.4908395655927892,1.831981520652771
OpenAI_text-embedding-ada_l2_All_512_64_False,TF-IDF,4,0.59,0.4558333333333333,0.4387855762431536,1.6057573533058167
OpenAI_text-embedding-ada_l2_All_512_64_False,BM25,4,0.66,0.4925,0.4303649672648589,1.4268071675300598
OpenAI_text-embedding-ada_l2_All_512_64_False,Dense,4,0.68,0.5825,0.4994917226230518,0.2816181302070618
OpenAI_text-embedding-ada_l2_All_512_64_False,Rerank_Hybrid_TF-IDF_Dense,4,0.69,0.5433333333333334,0.4975836440228977,2.282571005821228
OpenAI_text-embedding-ada_l2_All_512_64_False,Rerank_Hybrid_BM25_Dense,4,0.72,0.6091666666666667,0.4953779753354138,2.0062362217903136
OpenAI_text-embedding-ada_l2_All_1024_0_False,TF-IDF,4,0.72,0.5516666666666667,0.433444378369968,1.1543377995491029
OpenAI_text-embedding-ada_l2_All_1024_0_False,BM25,4,0.72,0.5933333333333334,0.419375833114409,0.9884195137023926
OpenAI_text-embedding-ada_l2_All_1024_0_False,Dense,4,0.72,0.5791666666666666,0.487298126241385,0.2645100784301757
OpenAI_text-embedding-ada_l2_All_1024_0_False,Rerank_Hybrid_TF-IDF_Dense,4,0.79,0.6233333333333335,0.4853265385894688,1.7386065459251403
OpenAI_text-embedding-ada_l2_All_1024_0_False,Rerank_Hybrid_BM25_Dense,4,0.81,0.6483333333333334,0.4812668280239212,1.554375650882721
